Wash # (A and B),A1,A1 %Δ wt,A2,A2 %Δ wt,A avg %Δwt,B1,B1 %Δ wt,B2,B2 %Δ wt,B avg %Δwt,C1,C1 %Δ wt,C2,C2 %Δ wt,C avg %Δ wt,Wash # (C)
0,4.6,0,4.25,0,0,4.12,0,4.81,0,0,-,-,-,-,-,-
1,4.6,0,4.15,2.352941176,1.176470588,4.04,1.941747573,4.66,3.118503119,2.530125346,-,-,-,-,-,-
2,4.49,2.391304348,4.15,2.352941176,2.372122762,4.03,2.184466019,4.66,3.118503119,2.651484569,6.08,0,6.02,0,0,0
3,4.51,1.956521739,4.18,1.647058824,1.801790281,4.06,1.45631068,4.7,2.286902287,1.871606483,5.98,1.644736842,6.03,-0.166112957,0.739311943,1
4,4.5,2.173913043,4.16,2.117647059,2.145780051,4.06,1.45631068,4.68,2.702702703,2.079506691,5.94,2.302631579,6,0.332225914,1.317428746,2
5,4.57,0.652173913,4.2,1.176470588,0.914322251,4.1,0.485436893,4.73,1.663201663,1.074319278,5.98,1.644736842,6.01,0.166112957,0.905424899,3
6,4.45,3.260869565,4.1,3.529411765,3.395140665,4.02,2.427184466,4.64,3.534303534,2.980744,5.87,3.453947368,5.93,1.495016611,2.47448199,4
7,4.45,3.260869565,4.11,3.294117647,3.277493606,4.03,2.184466019,4.65,3.326403326,2.755434673,5.89,3.125,5.94,1.328903654,2.226951827,5
8,4.42,3.913043478,4.1,3.529411765,3.721227621,4,2.912621359,4.63,3.742203742,3.327412551,5.86,3.618421053,5.93,1.495016611,2.556718832,6
9,4.41,4.130434783,4.09,3.764705882,3.947570332,4,2.912621359,4.63,3.742203742,3.327412551,5.87,3.453947368,5.91,1.827242525,2.640594947,7
10,4.39,4.565217391,4.08,4,4.282608696,3.99,3.155339806,4.61,4.158004158,3.656671982,5.84,3.947368421,5.92,1.661129568,2.804248995,8
